"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Bilibili Gaming",39,17,22,33.1,443,527,0.84,0.75,-0.11,"-2.3%",50.7,-7.1,113,"49%","56%","46%",,"52%","38%","42%","67%","40%","37%","49.7%","49.7%",3.45,1.29,1.53
"Dominus Esports",36,6,30,32.3,368,614,0.6,0.85,-1.15,"-7.8%",42.1,-25.4,-1229,"53%","39%","36%",,"37%","56%","42%","50%","24%","26%","49.5%","45.9%",3.15,1.18,1.51
"EDward Gaming",38,20,18,34,553,448,1.23,0.77,0.34,"1.9%",50.5,2.1,143,"57%","51%","55%",,"60%","39%","50%","64%","53%","56%","49.7%","48.5%",3.43,1.41,1.55
"eStar",40,13,27,32,474,623,0.76,0.86,-0.13,"-1.7%",50.8,-18.3,73,"63%","68%","50%",,"44%","48%","49%","100%","34%","35%","49.5%","48.6%",3.72,1.48,1.59
"FunPlus Phoenix",41,22,19,32.2,559,546,1.02,0.84,-0.41,"-1.9%",46.2,7.5,-516,"56%","37%","59%",,"50%","63%","54%","0%","44%","43%","49.8%","48.7%",3.45,1.48,1.51
"Invictus Gaming",41,26,15,30.3,593,558,1.06,0.93,0.5,"3.8%",55,8.4,440,"39%","56%","59%",,"46%","54%","54%","40%","60%","59%","51.7%","51.0%",3.11,1.21,1.45
"JD Gaming",39,28,11,31.6,603,417,1.45,0.83,0.57,"6.4%",51.4,20.4,345,"46%","46%","56%",,"44%","56%","56%","33%","68%","68%","50.5%","53.7%",3.36,1.17,1.55
"LGD Gaming",40,22,18,33.5,502,460,1.09,0.72,0.17,"0.6%",50.7,4.3,165,"53%","58%","45%",,"43%","38%","52%","60%","58%","56%","49.6%","50.8%",3.25,1.21,1.72
"LNG Esports",36,13,23,31.3,371,450,0.82,0.73,-0.47,"-3.7%",43,-6.9,-711,"42%","36%","36%",,"54%","36%","47%","0%","47%","48%","49.7%","48.1%",3.17,1.12,1.5
"Oh My God",41,15,26,32.7,495,622,0.8,0.83,-0.41,"-2.2%",41.5,-4.9,-608,"51%","29%","44%",,"45%","56%","48%","50%","36%","42%","50.4%","49.0%",3.32,1.26,1.42
"Rogue Warriors",36,11,25,32.2,419,574,0.73,0.86,-1.05,"-7.7%",38,-7.4,-1273,"53%","42%","31%",,"61%","50%","42%","33%","34%","37%","48.7%","45.6%",3,1.12,1.53
"Royal Never Give Up",39,21,18,32.1,522,445,1.17,0.77,0.47,"0.6%",58.3,-4.5,712,"64%","51%","51%",,"44%","54%","51%","29%","51%","47%","50.1%","49.2%",3.5,1.31,1.6
"Suning",42,25,17,33.1,550,499,1.1,0.75,0.4,"2.4%",50.3,9.3,236,"43%","52%","62%",,"54%","40%","49%","29%","61%","66%","50.2%","52.7%",3.72,1.32,1.56
"Team WE",43,24,19,33.2,584,541,1.08,0.79,-0.21,"0.2%",48.8,7,-158,"47%","56%","44%",,"57%","65%","53%","100%","54%","53%","49.9%","50.1%",3.24,1.35,1.75
"Top Esports",37,27,10,32,602,434,1.39,0.87,0.63,"6.7%",57.8,15.2,726,"47%","56%","57%",,"58%","57%","52%","100%","65%","65%","51.4%","52.6%",3.24,1.3,1.69
"Vici Gaming",41,19,22,32.5,504,498,1.01,0.75,0.07,"0.7%",54.9,-8.6,474,"44%","59%","54%",,"57%","51%","52%","67%","47%","45%","49.9%","52.5%",3.46,1.38,1.64
"Victory Five",41,26,15,29.7,521,415,1.26,0.77,0.67,"2.5%",58.2,5.2,823,"46%","56%","61%",,"49%","46%","56%","75%","66%","65%","49.7%","52.4%",3.27,1.29,1.53
