"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Anyone's Legend",37,16,21,30.8,447,514,0.87,0.84,,"-5.4%",,,,"49%",,,,,,"48%",,,"53%","49.7%","45.6%",3.3,1.22,1.42
"Bilibili Gaming",42,19,23,32.1,503,541,0.93,0.77,,"0.7%",,,,"50%",,,,,,"49%",,,"40%","50.3%","51.2%",3.47,1.34,1.63
"EDward Gaming",38,25,13,31.1,547,384,1.42,0.79,,"5.2%",,,,"45%",,,,,,"60%",,,"63%","50.7%","51.5%",3.18,1.21,1.69
"FunPlus Phoenix",40,19,21,30.5,487,522,0.93,0.83,,"-1.0%",,,,"60%",,,,,,"48%",,,"46%","49.9%","49.0%",3.23,1.24,1.75
"Invictus Gaming",44,18,26,30,509,662,0.77,0.89,,"-2.3%",,,,"52%",,,,,,"51%",,,"45%","50.0%","50.5%",3.22,1.3,1.56
"JD Gaming",42,30,12,30,710,464,1.53,0.93,,"7.8%",,,,"48%",,,,,,"63%",,,"57%","50.4%","54.2%",3.25,1.12,1.72
"LGD Gaming",42,15,27,32.7,464,604,0.77,0.77,,"-4.6%",,,,"50%",,,,,,"43%",,,"39%","49.4%","46.9%",3.1,1.28,1.63
"LNG Esports",39,20,19,32.6,508,491,1.03,0.78,,"-0.7%",,,,"54%",,,,,,"50%",,,"53%","49.5%","50.5%",3.59,1.27,1.66
"Oh My God",43,21,22,30.3,518,565,0.92,0.83,,"-3.5%",,,,"49%",,,,,,"49%",,,"48%","49.1%","47.8%",3.44,1.24,1.48
"Rare Atom",42,14,28,31.2,431,623,0.69,0.8,,"-2.5%",,,,"43%",,,,,,"47%",,,"40%","50.1%","53.3%",3.31,1.04,1.67
"Royal Never Give Up",43,29,14,30.8,680,516,1.32,0.9,,"5.3%",,,,"47%",,,,,,"55%",,,"61%","50.5%","50.8%",3.23,1.22,1.67
"Team WE",39,7,32,31,367,589,0.62,0.79,,"-7.6%",,,,"49%",,,,,,"36%",,,"37%","49.5%","44.3%",3.31,1.29,1.65
"ThunderTalk Gaming",41,18,23,32.9,533,500,1.07,0.77,,"-0.4%",,,,"63%",,,,,,"53%",,,"56%","49.6%","49.4%",3.3,1.32,1.76
"Top Esports",38,29,9,31.4,581,366,1.59,0.79,,"6.3%",,,,"39%",,,,,,"62%",,,"64%","50.8%","52.7%",3.16,1.35,1.82
"Ultra Prime",38,12,26,31.7,388,580,0.67,0.8,,"-7.5%",,,,"55%",,,,,,"34%",,,"38%","49.5%","47.0%",3.51,1.33,1.55
"Victory Five",37,28,9,31.1,597,408,1.46,0.87,,"5.1%",,,,"46%",,,,,,"59%",,,"59%","50.2%","51.7%",2.87,1.12,1.63
"Weibo Gaming",41,23,18,31.5,530,482,1.1,0.78,,"5.0%",,,,"51%",,,,,,"43%",,,"55%","50.7%","53.1%",3.81,1.37,1.84
